unit_id,var_id,year,val,diff,rate,mean,gmean,c_diff,c_rate
061813603011,72305,2015,46389,-179,-0.0038438412643876,-0.0036382843784365,-0.0036417791096266,-854,-0.0180767521114239
061813603011,72305,2016,46289,-100,-0.0021556834594408,-0.0040186198934307,-0.0040211145394692,-942,-0.0199445279583325
061813603011,72305,2017,46063,-226,-0.0048823694614271,-0.0047791339288425,-0.0047805464933461,-1117,-0.0236752861381942
061813603011,72305,2018,45817,-246,-0.0053405119076048,-0.0044652948097276,-0.0044662331085518,-1037,-0.0221325820634311
061813603011,72305,2019,45504,-313,-0.0068315254163302,-0.0046107863018381,-0.0046120070396700,-1064,-0.0228483078508847
061813603011,72305,2020,45189,-315,-0.0069224683544304,-0.0052265117198467,-0.0052280196412176,-1200,-0.0258682015132898
061813603011,72305,2021,44692,-497,-0.0109982517869393,-0.0069950253853464,-0.0069973710294010,-1597,-0.0345006373004385
061813603023,72305,1995,12988,,,,,,
061813603023,72305,1996,13011,23,0.0017708654142285,,,,
061813603023,72305,1997,12978,-33,-0.0025363154254093,,,,
061813603023,72305,1998,13045,67,0.0051625828324857,,,,
061813603023,72305,1999,13005,-40,-0.0030663089306248,,,,
061813603023,72305,2000,13060,55,0.0042291426374471,0.0011119933056255,0.0011062653821681,72,0.0055435786880197
061813603023,72305,2001,13058,-2,-0.0001531393568147,0.0007271923514168,0.0007214239497904,47,0.0036123280301284
061813603023,72305,2002,13099,41,0.0031398376474192,0.0018624229659825,0.0018577785796301,121,0.0093234704885190
061813603023,72305,2003,13064,-35,-0.0026719596915795,0.0002955144611695,0.0002911297859474,19,0.0014564967420468
061813603023,72305,2004,13064,0,0.0000000000000000,0.0009087762472944,0.0009057012534108,59,0.0045367166474433
061813603023,72305,2005,13056,-8,-0.0006123698714023,-0.0000595262544755,-0.0000612632486373,-4,-0.0003062787136294
061813603023,72305,2006,13044,-12,-0.0009191176470588,-0.0002127219125243,-0.0002145199547772,-14,-0.0010721396844846
061813603023,72305,2007,13060,16,0.0012266176019626,-0.0005953659216156,-0.0005961757300312,-39,-0.0029773265134743
061813603023,72305,2008,13042,-18,-0.0013782542113323,-0.0003366248255662,-0.0003370305318767,-22,-0.0016840171463564
061813603023,72305,2009,13070,28,0.0021469099831314,0.0000927571710601,0.0000918386105004,6,0.0004592774035517
061813603023,72305,2010,13180,110,0.0084162203519510,0.0018984752157308,0.0018923343796533,124,0.0094975490196078
061813603023,72305,2011,13176,-4,-0.0003034901365706,0.0020216007178284,0.0020157759398247,132,0.0101195952161914
061813603023,72305,2012,13185,9,0.0006830601092896,0.0019128892192938,0.0019069551220794,125,0.0095712098009188
061813603023,72305,2013,13187,2,0.0001516875237012,0.0022188775663005,0.0022137621319327,145,0.0111179266983591
061813603023,72305,2014,13204,17,0.0012891484037309,0.0020473252504204,0.0020421396035828,134,0.0102524866105585
061813603023,72305,2015,13167,-37,-0.0028021811572251,-0.0001963550514148,-0.0001973464646551,-13,-0.0009863429438543
061813603023,72305,2016,13126,-41,-0.0031138452191084,-0.0007584260679223,-0.0007601103344288,-50,-0.0037947783849423
061813603023,72305,2017,13091,-35,-0.0026664635075423,-0.0014283307912887,-0.0014299463724711,-94,-0.0071293136139553
061813603023,72305,2018,13090,-1,-0.0000763883584142,-0.0014739459677118,-0.0014754935681730,-97,-0.0073557291271707
061813603023,72305,2019,13010,-80,-0.0061115355233002,-0.0029540827531180,-0.0029559269130766,-194,-0.0146925174189640
061813603023,72305,2020,12944,-66,-0.0050730207532667,-0.0034082506723264,-0.0034104390082076,-223,-0.0169362800941748
061813603023,72305,2021,12808,-136,-0.0105067985166873,-0.0048868413318421,-0.0048929941831605,-318,-0.0242267255828127
061813603063,72305,1995,16850,,,,,,
061813603063,72305,1996,16941,91,0.0054005934718101,,,,
061813603063,72305,1997,17018,77,0.0045451862345788,,,,
061813603063,72305,1998,17153,135,0.0079327770595840,,,,
