unit_id,parent_id,teryt_id,name,level,kind
012414606072,012414606000,2406072,Popów,6,2
012414606082,012414606000,2406082,Przystajń,6,2
012414606092,012414606000,2406092,Wręczyca Wielka,6,2
012414609011,012414609000,2409011,Myszków,6,1
012414609023,012414609000,2409023,Koziegłowy,6,3
012414609032,012414609000,2409032,Niegowa,6,2
012414609042,012414609000,2409042,Poraj,6,2
012414609053,012414609000,2409053,Żarki,6,3
012414664011,012414664000,2464011,Częstochowa,6,1
012414705011,012414705000,2405011,Knurów,6,1
012414705021,012414705000,2405021,Pyskowice,6,1
012414705032,012414705000,2405032,Gierałtowice,6,2
012414705042,012414705000,2405042,Pilchowice,6,2
012414705052,012414705000,2405052,Rudziniec,6,2
012414705062,012414705000,2405062,Sośnicowice,6,2
012414705063,012414705000,2405063,Sośnicowice,6,3
012414705073,012414705000,2405073,Toszek,6,3
012414705082,012414705000,2405082,Wielowieś,6,2
012414766011,012414766000,2466011,Gliwice,6,1
012414778011,012414778000,2478011,Zabrze,6,1
012414863011,012414863000,2463011,Chorzów,6,1
012414869011,012414869000,2469011,Katowice,6,1
012414870011,012414870000,2470011,Mysłowice,6,1
012414872011,012414872000,2472011,Ruda Śląska,6,1
012414874011,012414874000,2474011,Siemianowice Śląskie,6,1
012414876011,012414876000,2476011,Świętochłowice,6,1
012414911011,012414911000,2411011,Racibórz,6,1
012414911022,012414911000,2411022,Kornowac,6,2
012414911032,012414911000,2411032,Krzanowice,6,2
012414911033,012414911000,2411033,Krzanowice,6,3
012414911042,012414911000,2411042,Krzyżanowice,6,2
012414911053,012414911000,2411053,Kuźnia Raciborska,6,3
012414911062,012414911000,2411062,Nędza,6,2
012414911072,012414911000,2411072,Pietrowice Wielkie,6,2
012414911082,012414911000,2411082,Rudnik,6,2
012414912013,012414912000,2412013,Czerwionka-Leszczyny,6,3
012414912022,012414912000,2412022,Gaszowice,6,2
012414912032,012414912000,2412032,Jejkowice,6,2
012414912042,012414912000,2412042,Lyski,6,2
012414912052,012414912000,2412052,Świerklany,6,2
012414915011,012414915000,2415011,Pszów,6,1
012414915021,012414915000,2415021,Radlin,6,1
012414915031,012414915000,2415031,Rydułtowy,6,1
012414915041,012414915000,2415041,Wodzisław Śląski,6,1
012414915052,012414915000,2415052,Godów,6,2
012414915062,012414915000,2415062,Gorzyce,6,2
012414915072,012414915000,2415072,Lubomia,6,2
012414915082,012414915000,2415082,Marklowice,6,2
012414915092,012414915000,2415092,Mszana,6,2
012414967011,012414967000,2467011,Jastrzębie-Zdrój,6,1
012414973011,012414973000,2473011,Rybnik,6,1
012414979011,012414979000,2479011,Żory,6,1
012415001011,012415001000,2401011,Będzin,6,1
012415001021,012415001000,2401021,Czeladź,6,1
012415001031,012415001000,2401031,Wojkowice,6,1
012415001042,012415001000,2401042,Bobrowniki,6,2
012415001052,012415001000,2401052,Mierzęcice,6,2
012415001062,012415001000,2401062,Psary,6,2
012415001073,012415001000,2401073,Siewierz,6,3
012415001081,012415001000,2401081,Sławków,6,1
012415016011,012415016000,2416011,Poręba,6,1
012415016021,012415016000,2416021,Zawiercie,6,1
012415016032,012415016000,2416032,Irządze,6,2
012415016042,012415016000,2416042,Kroczyce,6,2
012415016053,012415016000,2416053,Łazy,6,3
012415016063,012415016000,2416063,Ogrodzieniec,6,3
012415016073,012415016000,2416073,Pilica,6,3
012415016083,012415016000,2416083,Szczekociny,6,3
012415016092,012415016000,2416092,Włodowice,6,2
012415016102,012415016000,2416102,Żarnowiec,6,2
012415065011,012415065000,2465011,Dąbrowa Górnicza,6,1
012415068011,012415068000,2468011,Jaworzno,6,1
012415075011,012415075000,2475011,Sosnowiec,6,1
012415108011,012415108000,2408011,Łaziska Górne,6,1
012415108021,012415108000,2408021,Mikołów,6,1
012415108031,012415108000,2408031,Orzesze,6,1
012415108042,012415108000,2408042,Ornontowice,6,2
012415108052,012415108000,2408052,Wyry,6,2
012415110012,012415110000,2410012,Goczałkowice-Zdrój,6,2
012415110022,012415110000,2410022,Kobiór,6,2
012415110032,012415110000,2410032,Miedźna,6,2
012415110042,012415110000,2410042,Pawłowice,6,2
012415110053,012415110000,2410053,Pszczyna,6,3
012415110062,012415110000,2410062,Suszec,6,2
012415114011,012415114000,2414011,Bieruń,6,1
012415114021,012415114000,2414021,Imielin,6,1
012415114031,012415114000,2414031,Lędziny,6,1
012415114042,012415114000,2414042,Bojszowy,6,2
012415114052,012415114000,2414052,Chełm Śląski,6,2
012415177011,012415177000,2477011,Tychy,6,1
020811301011,020811301000,0801011,Kostrzyn nad Odrą,6,1
020811301022,020811301000,0801022,Bogdaniec,6,2
020811301032,020811301000,0801032,Deszczno,6,2
020811301042,020811301000,0801042,Kłodawa,6,2
020811301052,020811301000,0801052,Lubiszyn,6,2
020811301062,020811301000,0801062,Santok,6,2
020811301073,020811301000,0801073,Witnica,6,3
020811303012,020811303000,0803012,Bledzew,6,2
020811303023,020811303000,0803023,Międzyrzecz,6,3
020811303032,020811303000,0803032,Przytoczna,6,2
020811303042,020811303000,0803042,Pszczew,6,2
020811303053,020811303000,0803053,Skwierzyna,6,3
020811303063,020811303000,0803063,Trzciel,6,3
020811305013,020811305000,0805013,Cybinka,6,3
020811305022,020811305000,0805022,Górzyca,6,2
020811305033,020811305000,0805033,Ośno Lubuskie,6,3
020811305043,020811305000,0805043,Rzepin,6,3
020811305053,020811305000,0805053,Słubice,6,3
020811306013,020811306000,0806013,Dobiegniew,6,3
020811306023,020811306000,0806023,Drezdenko,6,3
020811306032,020811306000,0806032,Stare Kurowo,6,2
020811306043,020811306000,0806043,Strzelce Krajeńskie,6,3
020811306052,020811306000,0806052,Zwierzyn,6,2
020811307012,020811307000,0807012,Krzeszyce,6,2
020811307023,020811307000,0807023,Lubniewice,6,3
020811307032,020811307000,0807032,Słońsk,6,2
020811307043,020811307000,0807043,Sulęcin,6,3
020811307053,020811307000,0807053,Torzym,6,3
020811361011,020811361000,0861011,Gorzów Wielkopolski,6,1
020811402011,020811402000,0802011,Gubin,6,1
020811402022,020811402000,0802022,Bobrowice,6,2
020811402032,020811402000,0802032,Bytnica,6,2
020811402042,020811402000,0802042,Dąbie,6,2
020811402052,020811402000,0802052,Gubin,6,2
020811402063,020811402000,0802063,Krosno Odrzańskie,6,3
020811402072,020811402000,0802072,Maszewo,6,2
020811404011,020811404000,0804011,Nowa Sól,6,1
020811404023,020811404000,0804023,Bytom Odrzański,6,3
020811404032,020811404000,0804032,Kolsko,6,2
020811404043,020811404000,0804043,Kożuchów,6,3
020811404052,020811404000,0804052,Nowa Sól,6,2
020811404063,020811404000,0804063,Nowe Miasteczko,6,3
020811404072,020811404000,0804072,Otyń,6,2
020811404073,020811404000,0804073,Otyń,6,3
020811404082,020811404000,0804082,Siedlisko,6,2
020811404093,020811404000,0804093,Sława,6,3
020811404103,020811404000,0804103,Szlichtyngowa,6,3
020811404113,020811404000,0804113,Wschowa,6,3
020811408012,020811408000,0808012,Lubrza,6,2
020811408022,020811408000,0808022,Łagów,6,2
020811408032,020811408000,0808032,Skąpe,6,2
020811408042,020811408000,0808042,Szczaniec,6,2
020811408053,020811408000,0808053,Świebodzin,6,3
020811408063,020811408000,0808063,Zbąszynek,6,3
020811409013,020811409000,0809013,Babimost,6,3
020811409022,020811409000,0809022,Bojadła,6,2
020811409033,020811409000,0809033,Czerwieńsk,6,3
020811409043,020811409000,0809043,Kargowa,6,3
020811409053,020811409000,0809053,Nowogród Bobrzański,6,3
020811409063,020811409000,0809063,Sulechów,6,3
020811409072,020811409000,0809072,Świdnica,6,2
020811409082,020811409000,0809082,Trzebiechów,6,2
020811409092,020811409000,0809092,Zabór,6,2
020811409102,020811409000,0809102,Zielona Góra,6,2
020811410011,020811410000,0810011,Gozdnica,6,1
020811410021,020811410000,0810021,Żagań,6,1
020811410032,020811410000,0810032,Brzeźnica,6,2
020811410043,020811410000,0810043,Iłowa,6,3
020811410053,020811410000,0810053,Małomice,6,3
