unit_id,parent_id,teryt_id,name,level,kind
023216417034,023216417033,3217034,Mirosławiec,6,4
023216417044,023216417043,3217044,Tuczno,6,4
023216418014,023216418013,3218014,Dobra,6,4
023216418024,023216418023,3218024,Łobez,6,4
023216418044,023216418043,3218044,Resko,6,4
023216418054,023216418053,3218054,Węgorzyno,6,4
023216562011,023216562000,3262011,Szczecin,6,1
023216604014,023216604013,3204014,Dobra,6,4
023216604024,023216604023,3204024,Goleniów,6,4
023216604034,023216604033,3204034,Maszewo,6,4
023216604044,023216604043,3204044,Nowogard,6,4
023216604074,023216604073,3204074,Stepnica,6,4
023216605024,023216605023,3205024,Gryfice,6,4
023216605044,023216605043,3205044,Płoty,6,4
023216605064,023216605063,3205064,Resko,6,4
023216605084,023216605083,3205084,Trzebiatów,6,4
023216606024,023216606023,3206024,Cedynia,6,4
023216606034,023216606033,3206034,Chojna,6,4
023216606044,023216606043,3206044,Gryfino,6,4
023216606054,023216606053,3206054,Mieszkowice,6,4
023216606064,023216606063,3206064,Moryń,6,4
023216606084,023216606083,3206084,Trzcińsko-Zdrój,6,4
023216607014,023216607013,3207014,Dziwnów,6,4
023216607024,023216607023,3207024,Golczewo,6,4
023216607034,023216607033,3207034,Kamień Pomorski,6,4
023216607044,023216607043,3207044,Międzyzdroje,6,4
023216607064,023216607063,3207064,Wolin,6,4
023216611034,023216611033,3211034,Nowe Warpno,6,4
023216611044,023216611043,3211044,Police,6,4
023216614011,023216614000,3214011,Stargard,6,1
023216614024,023216614023,3214024,Chociwel,6,4
023216614034,023216614033,3214034,Dobrzany,6,4
023216614054,023216614053,3214054,Ińsko,6,4
023216614074,023216614073,3214074,Łobez,6,4
023216614114,023216614113,3214114,Suchań,6,4
023216614124,023216614123,3214124,Węgorzyno,6,4
023216663011,023216663000,3263011,Świnoujście,6,1
030210101011,030210101000,0201011,Bolesławiec,6,1
030210101044,030210101043,0201044,Nowogrodziec,6,4
030210105011,030210105000,0205011,Jawor,6,1
030210105024,030210105023,0205024,Bolków,6,4
030210106011,030210106000,0206011,Karpacz,6,1
030210106021,030210106000,0206021,Kowary,6,1
030210106031,030210106000,0206031,Piechowice,6,1
030210106041,030210106000,0206041,Szklarska Poręba,6,1
030210107011,030210107000,0207011,Kamienna Góra,6,1
030210107034,030210107033,0207034,Lubawka,6,4
030210110011,030210110000,0210011,Lubań,6,1
030210110021,030210110000,0210021,Świeradów-Zdrój,6,1
030210110034,030210110033,0210034,Leśna,6,4
030210110054,030210110053,0210054,Olszyna,6,4
030210112014,030210112013,0212014,Gryfów Śląski,6,4
030210112024,030210112023,0212024,Lubomierz,6,4
030210112034,030210112033,0212034,Lwówek Śląski,6,4
030210112044,030210112043,0212044,Mirsk,6,4
030210112054,030210112053,0212054,Wleń,6,4
030210125011,030210125000,0225011,Zawidów,6,1
030210125021,030210125000,0225021,Zgorzelec,6,1
030210125034,030210125033,0225034,Bogatynia,6,4
030210125044,030210125043,0225044,Pieńsk,6,4
030210125064,030210125063,0225064,Węgliniec,6,4
030210126011,030210126000,0226011,Wojcieszów,6,1
030210126021,030210126000,0226021,Złotoryja,6,1
030210126044,030210126043,0226044,Świerzawa,6,4
030210161011,030210161000,0261011,Jelenia Góra,6,1
030210203011,030210203000,0203011,Głogów,6,1
030210204014,030210204013,0204014,Góra,6,4
030210204044,030210204043,0204044,Wąsosz,6,4
030210209011,030210209000,0209011,Chojnów,6,1
030210209074,030210209073,0209074,Prochowice,6,4
030210211011,030210211000,0211011,Lubin,6,1
030210211044,030210211043,0211044,Ścinawa,6,4
030210216014,030210216013,0216014,Chocianów,6,4
030210216044,030210216043,0216044,Polkowice,6,4
030210216054,030210216053,0216054,Przemków,6,4
030210262011,030210262000,0262011,Legnica,6,1
030210302011,030210302000,0202011,Bielawa,6,1
030210302021,030210302000,0202021,Dzierżoniów,6,1
030210302031,030210302000,0202031,Pieszyce,6,1
